62.210.125.204:8080 France
83.138.82.73:8080 Germany
200.186.58.2:8080 Brazil
188.217.105.208:80 Italy
60.248.3.122:8888 Taiwan
52.50.158.131:8081 Ireland
200.75.49.74:80 Colombia
139.59.248.47:8080 Singapore
88.2.121.125:8080 Spain
119.18.156.181:8080 Indonesia
52.221.234.112:8080 Singapore
190.85.77.117:8080 Colombia
187.217.190.114:8080 Mexico
45.23.194.57:8080 United States
139.59.248.47:80 Singapore
103.48.16.82:8080 Bangladesh
62.162.163.238:8080 Macedonia
52.67.13.69:8080 Brazil
187.188.142.132:8090 Mexico
